id,name,desc,buttonText,type,unlocked,costType,cost,newResources,newTechs,newTabs,tabAlerts,maxLevel
unlockStorage,Storage Upgrades,"This will allow you to build storage upgrades to increase the maximum on the amount of resource you can have at once.",Unlock Storage,TECH_TYPE.UNLOCK,true,COST_TYPE.FIXED,"science:5",,unlockOil,,resources,1
unlockBasicEnergy,Basic Energy Production,"You will be able to produce power from steam engines using Charcoal made from wood in a furnace.",Unlock Basic Energy Production,TECH_TYPE.UNLOCK,true,COST_TYPE.FIXED,"science:20","energyNav,charcoalNav","unlockSolar,unlockMachines,upgradeEngineTech",,resources,1
unlockOil,Oil Processing,"Oil used to fuel more advanced machines that gather resources and also to produce more power than basic means. Unlocking Oil Processing allows you to extract it from the ground.",Unlock Oil,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:30",oilNav,,,resources,1
unlockSolar,Solar Panels,"Solar Panels produce Energy without the need for fuel, but they do it slower than other forms of Energy production.",Unlock Solar Panels,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:50",,upgradeSolarTech,,resources,1
unlockMachines,Resource Machines,"Resource Machines produce more resources than simple methods but require a constant supply of power to work.",Unlock Resource Machines,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:100",,"unlockSolarSystem,upgradeResourceTech,unlockDestruction",,resources,1
unlockDestruction,Destruction of Machines,"This allows you to destroy machines you have already created. It can be useful when there are more efficient methods of gaining resources, or if you don't have enough energy to support your machines.",Unlock Destruction,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:500",,,,resources,1
unlockSolarSystem,Space,"Unlocking space-travel allows for launching of rockets and opens a whole new field of research.",Unlock Space Travel,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:500",,,solarSystemTab,solarSystem,1
unlockRocketFuelT2,Oxidisation,"Oxidisation is a more efficient process of creating Rocket Fuel.",Unlock Oxidisation,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:450000",rocketFuelT2,unlockRocketFuelT3,,solarSystem,1
unlockRocketFuelT3,Hydrazine,"Hydrazine is a compound created by Methane that increases the speed at which rocket fuel can be produced in a Hydrazine Catalyst Machine.",Unlock Hydrazine,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:3200000",rocketFuelT3,,,solarSystem,1
unlockLabT2,Tier 2 Science,"Researching this will allow you to increase your science production drastically.",Unlock Tier 2 Science,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:500",,unlockLabT3,,,1
unlockLabT3,Tier 3 Science,"Researching this will allow you to access the third tier of science production, creating much more science than the previous tiers.",Unlock Tier 3 Science,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:3000",,unlockLabT4,,,1
unlockLabT4,Tier 4 Science,"Researching this will allow you to access the fourth tier of science production, creating 10 times as much science as the previous tier.",Unlock Tier 4 Science,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:50000000",,,,,1
unlockBatteries,Tier 1 Batteries,"Tier 1 Batteries improve the amount of energy you can store at once.",Unlock Batteries,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:15000","batteries,energyStorageBox",unlockBatteriesT2,,resources,1
unlockBatteriesT2,Tier 2 Batteries,"Tier 2 Batteries improve the amount of energy you can store at once",Unlock T2 Batteries,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:300000",batteriesT2,unlockBatteriesT3,,resources,1
unlockBatteriesT3,Tier 3 Batteries,"Tier 3 Batteries improve the amount of energy you can store at once",Unlock T3 Batteries,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:3000000",batteriesT3,unlockBatteriesT4,,resources,1
unlockBatteriesT4,Tier 4 Batteries,"Tier 4 Batteries improve the amount of energy you can store at once",Unlock T4 Batteries,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:30000000",batteriesT4,,,resources,1
unlockPlasma,Plasma Tier 1 Technology,"This allows you to turn your energy and hydrogen into Plasma",Unlock Plasma,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:40000",plasmaNav,unlockPlasmaTier2,,resources,1
unlockPlasmaTier2,Plasma Tier 2 Technology,"This research unlocks the second tier of Plasma production, the Plasmatic Pit",Unlock Plasma Tier 2,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:60000",plasmaTier2,,,resources,1
unlockPSU,Plasma Storage Units,"PSUs increase the limit on plasma you can store at once.",Unlock PSUs,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:9500000","plasmaStorageUnits,plasmaStorageBox",unlockPSUT2,,resources,1
unlockPSUT2,Tier 2 Plasma Storage Units,"Tier 2 PSUs are more efficient at storing plasma but they are significantly larger and require more resources to make.",Unlock T2 PSUs,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:37000000",plasmaStorageUnitsT2,,,resources,1
unlockEmc,Energy-Mass Conversion,"This power technology not only lets you create existing resources, but allows you to make new, and only creatable elements, such as meteorite.",Unlock EMC,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:60000",emcPage,unlockMeteorite,,solCenter,1
unlockMeteorite,Meteorite,"Meteorite is one of the rare resources in the Galaxy as it is an artificial one. All of the pre-existing Meteorite that once was in the Kuiper Belt, and similar asteroid fields in other solar systems, has all been mined away. Now, the only way to get is to make it in machines from energy.",Unlock Meteorite,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:100000","meteoriteNav,meteoriteEMC",unlockMeteoriteTier1,,"resources,wonder",1
unlockMeteoriteTier1,Meteorite Tier 1,"Research an automated way to gather Meteorite so that you don't have to worry about losing out when you're not around.",Unlock Meteorite Tier 1,TECH_TYPE.UNLOCK,false,COST_TYPE.FIXED,"science:75000",meteoriteTier1,unlockMeteoriteTier2,,resources,1
